order_id,order_date,region,channel,segment,category,product,units,unit_price,discount_pct,unit_cost
ORD-002185,2024-01-17 00:00:00+00:00,East,Distributor,SMB,Technology,Monitor 27,3,315.97,0.1086,195.68
ORD-005065,2024-01-17 00:00:00+00:00,West,Distributor,SMB,Office,Ergo Chair,2,430.53,0.1439,265.22
ORD-007365,2024-01-24 00:00:00+00:00,North,Online,Consumer,Office,Webcam,6,117.49,0.0395,61.83
ORD-003650,2024-01-26 00:00:00+00:00,West,Online,Consumer,Accessories,USB Hub,3,44.43,0.1115,26.32
ORD-009879,2024-01-30 00:00:00+00:00,North,Retail,Enterprise,Office,Ergo Chair,5,429.14,0.1603,273.75
ORD-006866,2024-02-04 00:00:00+00:00,South,Online,SMB,Accessories,USB Hub,8,41.84,0.0893,26.28
ORD-004220,2024-02-06 00:00:00+00:00,East,Retail,Consumer,Technology,Docking Station,2,162.48,0.0825,98.64
ORD-000961,2024-02-07 00:00:00+00:00,East,Online,SMB,Technology,Monitor 27,2,312.69,0.1069,193.03
ORD-001846,2024-02-07 00:00:00+00:00,East,Online,SMB,Technology,Laptop Pro,7,934.68,0.064,541.64
ORD-011103,2024-02-11 00:00:00+00:00,East,Distributor,Consumer,Office,Webcam,4,109.74,0.2179,61.62
ORD-010011,2024-02-12 00:00:00+00:00,West,Online,Enterprise,Technology,Laptop Pro,6,974.72,0.1554,566.2
ORD-008858,2024-02-15 00:00:00+00:00,West,Online,Consumer,Technology,Laptop Pro,2,925.95,0.0525,529.99
ORD-007496,2024-02-18 00:00:00+00:00,West,Retail,Consumer,Technology,Laptop Pro,3,1066.15,0.0,585.25
ORD-010838,2024-02-19 00:00:00+00:00,West,Online,SMB,Technology,Docking Station,10,176.04,0.0,100.17
ORD-000077,2024-02-23 00:00:00+00:00,South,Online,Consumer,Accessories,Power Bank,2,82.22,0.0182,55.15
ORD-006703,2024-02-24 00:00:00+00:00,West,Distributor,Enterprise,Office,Standing Desk,8,562.02,0.1324,387.57
ORD-011019,2024-03-01 00:00:00+00:00,North,Retail,Consumer,Technology,Laptop Pro,2,970.4,0.0775,534.06
ORD-011929,2024-03-10 00:00:00+00:00,West,Distributor,SMB,Accessories,Mouse,2,56.73,0.1967,29.83
ORD-008399,2024-03-19 00:00:00+00:00,West,Online,Consumer,Office,Standing Desk,1,605.69,0.0396,388.2
ORD-004296,2024-04-04 00:00:00+00:00,South,Online,Consumer,Accessories,Power Bank,4,81.87,0.1122,56.07
ORD-010116,2024-04-10 00:00:00+00:00,South,Online,SMB,Office,Standing Desk,3,563.13,0.0213,386.01
ORD-000132,2024-04-28 00:00:00+00:00,West,Online,Enterprise,Office,Ergo Chair,4,465.95,0.1297,268.0
ORD-003852,2024-04-30 00:00:00+00:00,South,Online,Consumer,Technology,Docking Station,1,203.44,0.1202,98.52
ORD-009798,2024-05-15 00:00:00+00:00,South,Retail,Consumer,Office,Desk Lamp,2,68.39,0.078,44.83
ORD-004563,2024-05-21 00:00:00+00:00,South,Online,Consumer,Technology,Laptop Pro,4,939.75,0.0826,523.12
ORD-011914,2024-05-26 00:00:00+00:00,South,Online,Enterprise,Accessories,Mouse,7,55.66,0.1456,29.59
ORD-011489,2024-05-27 00:00:00+00:00,South,Retail,Enterprise,Accessories,Mouse,5,54.33,0.1534,29.78
ORD-010450,2024-05-28 00:00:00+00:00,South,Retail,SMB,Accessories,USB Hub,4,44.43,0.0398,28.49
ORD-006293,2024-05-29 00:00:00+00:00,West,Distributor,Consumer,Accessories,Power Bank,2,84.27,0.1187,56.82
ORD-001982,2024-06-03 00:00:00+00:00,South,Online,Consumer,Technology,Laptop Pro,1,912.21,0.0956,558.22
ORD-004601,2024-06-05 00:00:00+00:00,East,Online,Enterprise,Office,Webcam,7,119.47,0.0486,65.83
ORD-000766,2024-06-10 00:00:00+00:00,North,Online,Enterprise,Office,Desk Lamp,3,67.76,0.1206,46.12
ORD-008487,2024-06-12 00:00:00+00:00,West,Distributor,Consumer,Technology,Docking Station,5,172.66,0.1371,101.43
ORD-004790,2024-06-16 00:00:00+00:00,East,Online,Enterprise,Accessories,Headset,5,94.04,0.1017,50.51
